PRCTILE,GOOD_ON_DUR,GOOD_OFF_DUR,AVG_ON_DUR,AVG_OFF_DUR,POOR_ON_DUR,POOR_OFF_DUR
0.35,4.4071,1.4441,2.0642,1.4742,1.934,2.3549
0.351,4.4216,1.4453,2.069,1.4755,1.9381,2.3631
0.352,4.436,1.4466,2.0737,1.4769,1.9422,2.3712
0.353,4.4504,1.4479,2.0785,1.4783,1.9463,2.3794
0.354,4.4649,1.4491,2.0832,1.4796,1.9504,2.3875
0.355,4.4793,1.4504,2.088,1.481,1.9545,2.3957
0.356,4.4937,1.4517,2.0927,1.4823,1.9586,2.4038
0.357,4.5088,1.4529,2.0975,1.4837,1.9627,2.412
0.358,4.5243,1.4542,2.1022,1.485,1.9668,2.4202
0.359,4.5398,1.4555,2.107,1.4864,1.9709,2.4283
0.36,4.5554,1.4567,2.1117,1.4877,1.975,2.4365
0.361,4.5709,1.458,2.1165,1.4891,1.979,2.4446
0.362,4.5865,1.4593,2.1212,1.4905,1.9831,2.4528
0.363,4.602,1.4606,2.126,1.4918,1.9872,2.4609
0.364,4.6175,1.4618,2.1307,1.4932,1.9913,2.4691
0.365,4.6331,1.4631,2.1354,1.4945,1.9954,2.4773
0.366,4.6486,1.4644,2.1402,1.4959,1.9995,2.4854
0.367,4.6642,1.4656,2.1449,1.4972,2.0036,2.4936
0.368,4.6797,1.4669,2.1497,1.4986,2.0077,2.5034
0.369,4.6952,1.4682,2.1544,1.4999,2.0118,2.5194
0.37,4.7108,1.4694,2.1592,1.5041,2.0159,2.5354
0.371,4.7263,1.4707,2.1639,1.5084,2.02,2.5514
0.372,4.7418,1.472,2.1687,1.5128,2.0241,2.5674
0.373,4.7574,1.4732,2.1734,1.5171,2.0282,2.5834
0.374,4.7729,1.4745,2.1782,1.5214,2.0323,2.5994
0.375,4.7885,1.4758,2.1829,1.5257,2.0364,2.6154
0.376,4.804,1.477,2.1877,1.5301,2.0405,2.6314
0.377,4.8195,1.4783,2.1924,1.5344,2.0446,2.6474
0.378,4.8351,1.4796,2.1972,1.5387,2.0487,2.6634
0.379,4.8506,1.4809,2.2019,1.543,2.0528,2.6794
0.38,4.8662,1.4821,2.2067,1.5474,2.0569,2.6954
0.381,4.8817,1.4834,2.2114,1.5517,2.061,2.7114
0.382,4.8972,1.4847,2.2162,1.556,2.0651,2.7274
0.383,4.9128,1.4859,2.2209,1.5603,2.0692,2.7434
0.384,4.9283,1.4872,2.2257,1.5646,2.0733,2.7594
0.385,4.9438,1.4885,2.2304,1.569,2.0774,2.7754
0.386,4.9594,1.4897,2.2352,1.5733,2.0815,2.7914
0.387,4.9749,1.491,2.2399,1.5776,2.0856,2.8074
0.388,4.9905,1.4923,2.2447,1.5819,2.0897,2.8234
0.389,5.006,1.4935,2.2494,1.5863,2.0938,2.8394
0.39,5.0215,1.4948,2.2541,1.5906,2.0979,2.8554
0.391,5.0371,1.4961,2.2589,1.5949,2.102,2.8714
0.392,5.0526,1.4973,2.2636,1.5992,2.1061,2.8874
0.393,5.0682,1.4986,2.2684,1.6036,2.1102,2.9034
0.394,5.0837,1.4999,2.2731,1.6079,2.1143,2.9194
0.395,5.0992,1.506,2.2779,1.6122,2.1183,2.9354
0.396,5.1148,1.5125,2.2826,1.6165,2.1224,2.9514
0.397,5.1303,1.5191,2.2874,1.6209,2.1265,2.9674
0.398,5.1458,1.5256,2.2921,1.6252,2.1306,2.9834
0.399,5.1614,1.5322,2.2969,1.6295,2.1347,2.9994
0.4,5.1769,1.5387,2.3016,1.6338,2.1388,3.0154
0.401,5.1925,1.5453,2.3064,1.6381,2.1429,3.0314
0.402,5.208,1.5518,2.3111,1.6425,2.147,3.0474
0.403,5.2235,1.5584,2.3159,1.6468,2.1511,3.0634
0.404,5.2391,1.5649,2.3206,1.6511,2.1552,3.0794
0.405,5.2546,1.5715,2.3254,1.6554,2.1593,3.0954
0.406,5.2702,1.578,2.3301,1.6598,2.1634,3.1114
